sample_id,sigma0,ramp,omega,cyc_frac,Y0,a_crit,A_rate,D_c,m_sub,noise_sigma,seed,a0,h,tf,t_fp,a_fp,finite
68,0.7918288596340817,0.0,0.0,0.0,0.893192632274197,2.0,1.6110194393790918,0.11986662043395774,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.11398710321228417,1
69,0.5214128211265909,0.0,0.0,0.0,0.8648494202322766,2.0,1.2552764057107622,0.12484880866736423,0.5,0.2,1111,1e-06,0.2,6.5,4.600000000000001,0.05933774456279558,1
70,0.7161970966490596,0.0,0.0,0.0,0.9196680366474494,2.0,1.2565014117398015,0.11649025483274934,0.5,0.2,1111,1e-06,0.2,6.5,3.2000000000000006,0.05024770192355815,1
71,0.8721978249558228,0.0,0.0,0.0,0.9475909311923804,2.0,1.573705103560086,0.1235633975322032,0.5,0.2,1111,1e-06,0.2,6.5,4.200000000000001,0.15228788244474403,1
72,0.7074200602932148,0.0,0.0,0.0,0.8678705676632757,2.0,1.5014992101849993,0.11757189533344502,0.5,0.2,1111,1e-06,0.2,6.5,2.4,0.07672271463806012,1
73,0.6401156466185858,0.0,0.0,0.0,1.1220254274934747,2.0,1.6429192304606146,0.11457186448066635,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.07087386408526865,1
74,0.7920906481886125,0.0,0.0,0.0,1.0616191239833654,2.0,1.5541853429335675,0.12705178140641113,0.5,0.2,1111,1e-06,0.2,6.5,1.2,0.11535381080046506,1
75,0.6204499425878789,0.0,0.0,0.0,0.960919381589812,2.0,1.5327933506469391,0.116862639841806,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.0775128788998399,1
76,0.7720581484676725,0.0,0.0,0.0,1.1716618552674067,2.0,1.4916732460413993,0.12329229231400395,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.11330314019523667,1
77,0.8762431344017165,0.0,0.0,0.0,0.8090827723417824,2.0,1.5037816576207967,0.1299692085665986,0.5,0.2,1111,1e-06,0.2,6.5,2.6,0.15404765075284274,1
78,0.564479983179027,0.0,0.0,0.0,0.8791061869037162,2.0,1.7375456317106361,0.13414140986114254,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.10602489361951442,1
79,0.5871064185740404,0.0,0.0,0.0,0.8783297329799923,2.0,1.3693941941378165,0.11179137819322138,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.06092770408206972,1
80,0.7244742193208282,0.0,0.0,0.0,1.0411759461767407,2.0,1.73429814369111,0.1193656619207407,0.5,0.2,1111,1e-06,0.2,6.5,3.800000000000001,0.1003014678027941,1
81,0.5607587907404149,0.0,0.0,0.0,1.1409704303615666,2.0,1.4955601625017372,0.113477771819567,0.5,0.2,1111,1e-06,0.2,6.5,3.600000000000001,0.10669793440368197,1
